1,1,2024-07-05 00:00:00.000,已付款,850.00,NGO20240705001
2,1,2024-07-08 00:00:00.000,已付款,1200.50,NGO20240708001
3,2,2024-07-06 00:00:00.000,已付款,2150.00,NGO20240706001
4,2,2024-07-09 00:00:00.000,待付款,680.00,NGO20240709001
5,3,2024-07-07 00:00:00.000,已付款,420.00,NGO20240707001
6,3,2024-07-10 00:00:00.000,待付款,950.00,NGO20240710001
7,4,2024-07-06 00:00:00.000,已付款,1580.00,NGO20240706002
8,4,2024-07-08 00:00:00.000,已付款,340.00,NGO20240708002
9,4,2024-07-10 00:00:00.000,已付款,720.00,NGO20240710002
10,5,2025-07-13 03:51:34.297,已付款,705.00,NGO20250713001
11,1,2025-07-13 14:11:01.300,已付款,415.00,NGO20250713002
12,1,2025-07-13 18:00:55.427,已付款,180.00,NGO20250713003
13,1,2025-07-13 18:48:41.717,已付款,150.00,NGO20250713004
14,1,2025-07-13 22:31:19.563,已付款,560.00,NGO20250713005
